Découverte,Scientifique,Année
Découverte D,Scientifique C,1816
Découverte B,Scientifique A,1837
Découverte C,Scientifique D,2020
Découverte B,Scientifique C,1873
Découverte D,Scientifique D,1960
Découverte A,Scientifique A,2004
Découverte A,Scientifique A,1892
Découverte D,Scientifique B,1968
Découverte C,Scientifique A,1909
Découverte D,Scientifique B,1980
Découverte D,Scientifique D,1836
Découverte D,Scientifique C,1929
Découverte C,Scientifique C,1820
Découverte C,Scientifique C,1812
Découverte A,Scientifique C,1936
Découverte B,Scientifique A,1827
Découverte C,Scientifique A,1860
Découverte C,Scientifique B,2008
Découverte B,Scientifique A,2011
Découverte C,Scientifique C,1961
Découverte D,Scientifique B,1958
Découverte C,Scientifique C,1804
Découverte B,Scientifique B,1838
Découverte D,Scientifique D,1908
Découverte C,Scientifique B,1977
Découverte D,Scientifique D,1920
Découverte A,Scientifique D,1911
Découverte A,Scientifique A,1812
Découverte A,Scientifique A,1866
Découverte D,Scientifique D,1996
Découverte A,Scientifique B,1809
Découverte A,Scientifique B,1831
Découverte C,Scientifique C,1868
Découverte C,Scientifique B,1955
Découverte C,Scientifique B,1897
Découverte C,Scientifique D,1961
Découverte B,Scientifique A,1980
Découverte B,Scientifique B,1984
Découverte B,Scientifique C,1877
Découverte D,Scientifique B,1890
Découverte D,Scientifique A,1898
Découverte B,Scientifique D,1877
Découverte C,Scientifique C,1941
Découverte D,Scientifique D,1998
Découverte B,Scientifique A,1848
Découverte C,Scientifique A,1845
Découverte B,Scientifique C,2019
Découverte B,Scientifique C,1936
Découverte C,Scientifique D,1889
Découverte C,Scientifique D,1918
Découverte A,Scientifique D,1805
Découverte D,Scientifique C,1823
Découverte D,Scientifique B,1980
Découverte D,Scientifique B,1956
Découverte A,Scientifique D,1907
Découverte D,Scientifique C,1894
Découverte D,Scientifique B,1842
Découverte D,Scientifique A,1932
Découverte C,Scientifique A,1925
Découverte A,Scientifique B,1965
Découverte B,Scientifique D,1884
Découverte D,Scientifique C,2012
Découverte B,Scientifique A,1960
Découverte A,Scientifique A,2017
Découverte C,Scientifique A,1919
Découverte B,Scientifique B,1966
Découverte D,Scientifique A,1975
Découverte C,Scientifique B,1829
Découverte B,Scientifique A,1881
Découverte C,Scientifique D,1924
Découverte A,Scientifique B,1967
Découverte A,Scientifique B,1950
Découverte B,Scientifique C,1905
Découverte A,Scientifique D,1944
Découverte C,Scientifique D,1986
Découverte A,Scientifique D,1980
Découverte A,Scientifique D,1917
Découverte C,Scientifique B,1866
Découverte B,Scientifique B,2006
Découverte C,Scientifique D,1871
Découverte A,Scientifique A,1961
Découverte C,Scientifique B,1843
Découverte D,Scientifique B,2022
Découverte D,Scientifique A,1813
Découverte C,Scientifique D,1977
Découverte C,Scientifique C,1968
Découverte B,Scientifique C,1825
Découverte D,Scientifique C,1943
Découverte D,Scientifique B,1912
Découverte C,Scientifique B,1928
Découverte B,Scientifique C,1817
Découverte C,Scientifique C,1814
Découverte D,Scientifique B,1890
Découverte D,Scientifique A,1819
Découverte C,Scientifique B,2022
Découverte A,Scientifique D,1870
Découverte D,Scientifique B,2010
Découverte C,Scientifique B,1964
Découverte C,Scientifique A,1968
Découverte A,Scientifique C,2011
