Precipitation (mm),Hauteur (m)
57.58,10.0
540.65,11.56
504.7,22.97
1951.84,23.28
1722.94,11.89
1499.77,3.89
196.29,26.97
555.17,12.51
879.12,9.68
1692.2,16.1
362.33,2.2
1332.07,20.94
1581.04,7.21
1295.8,15.02
678.94,27.58
1281.05,25.11
1259.15,26.42
952.26,5.29
1732.97,11.04
1567.28,2.85
1167.32,24.89
1356.71,25.26
1141.18,26.81
1525.32,4.64
986.67,17.74
717.37,14.02
1820.71,25.39
133.86,9.07
507.69,11.85
1245.52,9.91
1578.23,22.97
978.09,24.53
330.02,15.27
111.83,22.22
1321.46,5.88
1670.13,4.15
224.64,22.19
1892.43,12.77
214.14,12.21
1482.1,28.95
1675.95,16.47
1523.38,22.03
815.82,20.36
1506.63,18.86
1315.4,18.38
1443.67,28.39
1583.17,3.12
1058.25,13.85
1292.36,15.54
837.04,12.25
1171.59,13.72
593.28,16.45
1978.08,11.01
1126.42,1.6
1857.56,26.13
1023.4,14.35
1108.69,0.52
824.35,14.99
1804.68,11.0
1078.93,15.25
152.89,7.85
871.1,24.46
1415.53,25.38
840.36,22.58
275.0,27.5
61.7,25.01
1648.89,27.87
1726.9,0.81
92.4,17.26
1835.53,28.2
600.77,12.56
1661.87,5.08
594.96,28.1
538.28,18.01
539.83,20.21
305.45,27.37
1692.51,28.72
991.17,6.94
1692.58,11.18
707.38,10.41
1125.08,20.07
1221.14,13.89
1774.76,29.65
385.13,8.9
1506.67,3.35
1324.4,12.43
1634.57,0.9
137.14,19.69
1917.06,13.16
736.81,29.07
238.04,2.21
577.41,28.57
1848.46,9.57
1976.74,27.53
1449.18,4.63
435.86,6.13
1952.35,14.28
816.39,14.57
1483.02,12.87
1772.65,17.84
1393.14,1.45
1638.15,11.21
1584.76,19.7
69.82,13.43
1111.87,9.97
1337.51,4.88
197.69,29.87
1777.71,4.49
969.94,5.25
1546.71,23.09
646.46,4.77
1552.25,11.12
1494.43,17.38
1545.88,3.22
1047.06,2.96
1462.84,7.07
1976.58,26.46
911.83,25.87
1698.21,1.0
373.82,12.41
291.96,17.32
392.68,26.83
1188.12,17.99
953.04,15.54
1662.77,16.96
1680.29,14.2
1187.13,1.59
1767.92,22.98
1119.92,19.66
1500.97,10.45
1570.26,8.38
315.69,9.32
277.73,19.37
364.69,12.95
1652.72,15.57
147.3,15.15
1403.96,15.46
99.46,9.52
1587.75,24.91
1689.89,29.91
161.15,24.84
722.62,13.42
258.1,6.5
1183.61,13.94
1809.27,9.27
461.26,4.47
1128.13,23.87
1559.63,1.33
243.84,16.29
1885.94,22.36
1430.97,9.37
210.62,22.86
198.19,26.75
1249.47,6.39
718.29,17.48
833.76,18.1
478.67,17.94
1542.4,6.51
1042.45,1.19
75.38,8.89
486.67,29.69
524.22,3.04
655.33,6.6
1337.19,19.76
143.74,27.64
939.86,15.64
1479.99,11.55
1078.86,6.05
1640.35,19.38
641.85,13.28
1960.6,29.72
665.69,18.31
1840.06,27.97
310.04,8.09
1289.38,23.93
919.9,4.28
833.04,16.84
883.88,22.06
961.21,22.03
355.8,24.0
531.53,1.71
85.15,2.04
1612.85,16.91
1486.04,9.75
784.46,8.72
1816.33,23.08
896.14,27.83
1714.3,9.0
1326.49,5.32
1293.87,2.24
816.93,11.6
1281.62,22.63
1124.21,10.69
1757.16,0.5
175.76,13.72
1783.76,18.51
330.22,1.39
502.35,16.38
1569.22,6.75
816.6,24.37
927.15,19.82
1169.54,8.9
199.2,12.84
1041.21,4.91
925.52,11.66
1149.45,21.67
348.56,2.7
318.44,8.6
1638.59,0.76
561.45,15.99
1025.76,6.22
1763.81,6.03
1711.27,9.08
1581.54,25.59
207.87,25.75
1258.18,12.18
942.68,28.22
1949.61,26.68
1680.88,19.7
903.9,28.87
590.11,22.61
992.31,14.22
1208.99,7.36
858.55,10.39
1229.94,8.98
347.76,25.74
143.51,3.93
1727.01,29.56
102.61,27.23
1043.51,23.37
1336.71,14.41
1805.52,17.19
126.05,19.93
1434.76,2.9
353.35,14.35
114.57,20.65
59.33,16.44
632.38,12.54
103.86,21.71
450.53,1.69
1048.02,16.21
1232.65,11.96
769.86,26.31
253.46,21.73
1253.89,26.44
1058.83,2.85
327.26,9.69
1750.86,11.69
593.85,24.34
494.24,19.89
1957.82,12.69
798.76,18.12
654.72,20.01
78.79,21.17
1620.16,8.25
533.95,21.26
460.11,21.59
79.63,7.27
875.8,17.48
1481.15,3.09
670.48,24.72
1985.98,10.17
218.3,19.75
1207.15,4.21
1464.54,16.8
1255.68,18.22
1650.28,8.74
552.49,23.84
429.2,7.12
330.74,23.17
1343.17,25.67
1913.68,22.01
1471.32,19.65
1390.28,22.47
1076.48,9.45
1761.48,11.6
858.27,13.64
856.4,29.94
1938.8,26.53
581.32,3.49
270.14,14.04
965.12,27.68
1821.05,21.27
1804.36,15.43
1476.99,11.34
936.74,18.37
1867.05,4.7
1401.42,0.61
186.97,18.69
1538.91,17.57
1965.25,2.86
1350.75,13.61
359.32,2.99
1651.89,11.5
1685.89,3.26
934.08,11.06
1602.33,25.04
473.7,29.09
442.8,18.13
