Month,Laval_Temperature,Montreal_Temperature
January,11.47,4.83
January,3.64,-7.5
January,-2.2,29.58
January,3.78,28.9
January,10.8,8.45
January,22.24,-2.44
January,2.42,1.59
January,5.38,-5.56
January,21.57,-3.18
January,9.63,28.49
January,9.19,5.77
January,12.68,-6.23
January,9.7,6.87
January,-4.42,1.08
January,8.39,-7.16
January,21.82,5.58
January,12.49,25.04
January,-3.03,20.62
January,27.14,27.7
January,-6.11,-5.19
January,18.75,11.57
February,-3.63,15.03
February,-9.78,4.34
February,-5.3,0.46
February,6.8,14.52
February,10.39,14.35
February,1.92,8.36
February,12.55,7.53
February,27.41,23.72
February,17.31,22.18
February,29.64,23.18
February,-0.45,17.83
February,14.34,-3.49
February,28.0,8.18
February,22.68,15.1
February,-8.58,-4.94
February,23.03,-7.94
February,19.29,4.38
February,1.22,-9.3
February,14.32,7.2
February,-8.04,6.7
February,1.81,18.92
March,13.98,0.24
March,18.87,26.42
March,26.89,22.97
March,8.09,7.22
March,18.79,15.07
March,23.92,29.97
March,23.13,9.54
March,8.49,-7.2
March,-7.58,13.32
March,11.08,1.66
March,29.88,28.26
March,5.87,12.19
March,29.13,10.79
March,4.98,19.56
March,4.34,20.31
March,3.33,17.69
March,14.3,1.52
March,18.14,27.48
March,14.87,4.36
March,29.42,27.93
March,-6.22,-1.43
April,26.52,20.98
April,9.5,-5.39
April,26.37,26.12
April,-3.14,-5.39
April,-0.11,23.64
April,26.36,25.9
April,-4.7,14.51
April,-3.84,-6.12
April,22.34,22.69
April,17.74,22.14
April,-3.85,-1.04
April,27.29,2.32
April,-8.59,8.34
April,28.02,-4.71
April,6.56,-6.3
April,-8.29,-2.1
April,28.47,-7.35
April,-3.79,12.91
April,25.77,-8.73
April,7.65,-6.1
April,28.74,16.42
May,18.15,2.52
May,16.49,14.3
May,5.68,22.22
May,25.63,22.7
May,-7.73,11.7
May,27.02,2.97
May,9.78,15.53
May,8.89,1.57
May,13.84,-9.4
May,14.72,24.11
May,21.53,24.05
May,6.9,-4.29
May,24.05,-4.05
May,7.78,15.76
May,28.96,-3.41
May,15.05,10.73
May,2.77,-2.19
May,-4.64,7.93
May,-6.45,4.44
May,21.24,-4.43
May,15.84,6.36
June,8.94,27.64
June,13.7,20.73
June,1.35,14.51
June,-5.82,-2.17
June,17.87,-1.94
June,16.57,9.4
June,-5.17,1.22
June,-6.53,8.78
June,8.66,11.41
June,-5.52,-3.64
June,29.31,7.95
June,18.57,11.18
June,15.94,3.09
June,22.45,28.64
June,-6.27,23.03
June,15.99,5.61
June,29.72,-5.05
June,5.12,23.84
June,-4.53,-5.34
June,-0.51,-7.3
June,13.42,26.21
July,9.66,13.62
July,-2.54,14.67
July,15.7,26.29
July,-0.86,8.23
July,3.75,7.85
July,29.96,22.13
July,16.78,10.05
July,-6.34,10.98
July,-4.73,21.38
July,-8.6,4.42
July,4.19,25.75
July,3.72,2.87
July,8.62,23.1
July,10.9,13.86
July,20.22,-9.79
July,-8.75,14.41
July,2.13,-5.69
July,-4.12,25.27
July,15.9,13.2
July,-0.08,5.24
July,15.9,27.78
August,26.97,-7.32
August,1.31,15.15
August,8.37,25.13
August,20.14,29.96
August,-7.5,-5.95
August,17.91,3.25
August,25.85,23.58
August,13.76,-5.15
August,2.1,25.97
August,20.39,22.36
August,9.05,18.85
August,22.26,25.76
August,10.06,13.06
August,0.43,-2.88
August,-7.52,23.89
August,6.36,22.95
August,2.26,6.36
August,8.62,-3.26
August,19.83,22.24
August,25.29,6.76
August,24.4,6.19
September,18.17,15.43
September,-0.27,20.63
September,23.16,-5.8
September,-8.67,4.47
September,-2.31,27.04
September,-4.32,-9.52
September,3.47,-9.51
September,-1.51,12.46
September,21.53,26.42
September,14.69,6.61
September,13.48,4.11
September,21.28,16.58
September,1.9,-6.69
September,22.72,-3.86
September,1.11,2.64
September,29.17,6.59
September,-0.23,25.4
September,25.88,22.1
September,22.41,11.19
September,17.35,20.83
September,4.96,5.34
October,11.17,23.73
October,10.25,10.87
October,-8.75,11.18
October,11.43,-9.24
October,13.22,15.95
October,15.93,29.5
October,26.31,10.55
October,-3.0,9.21
October,14.85,5.41
October,29.43,23.6
October,21.43,10.27
October,8.07,24.64
October,-2.93,15.34
October,11.26,27.32
October,9.81,12.63
October,-8.5,7.71
October,14.97,-5.88
October,24.49,18.2
October,7.9,8.8
October,29.47,15.74
October,-5.7,-1.03
November,29.59,29.34
November,5.61,15.21
November,-1.3,-8.85
November,28.44,26.76
November,21.01,17.54
November,15.55,-6.49
November,5.42,13.63
November,22.94,12.04
November,26.54,8.67
November,10.33,-6.58
November,3.37,18.9
November,-4.59,-6.28
November,-2.37,-2.13
November,5.28,9.79
November,28.91,8.73
November,0.89,-1.72
November,19.39,3.84
November,2.94,3.86
November,17.89,7.23
November,-5.79,16.21
November,-8.58,10.05
December,-9.11,-7.3
December,0.99,23.32
December,-8.77,-5.07
December,11.56,10.57
December,2.28,15.4
December,29.93,-4.04
December,13.01,20.77
December,7.26,5.47
December,19.56,18.83
December,4.98,20.61
December,0.89,17.09
December,9.38,13.8
December,22.77,26.86
December,4.88,29.82
December,-3.37,-7.29
December,28.68,-9.47
December,27.03,17.15
December,-0.78,-1.15
December,22.72,-4.41
December,1.72,16.09
December,24.23,17.47
