id,coordinate_X,coordinate_Y,STATION_NAME,LOCAL_DATE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,
7037400.2020.7.19,-74.05,45.8,ST JEROME,2020-07-19 00:00:00,2020,7,19,0.8,None,0,None,None,None,19.5,None,None,None,30,None,None,None,
7037400.2020.6.20,-74.05,45.8,ST JEROME,2020-06-20 00:00:00,2020,6,20,None,M,0,None,None,None,17.3,None,None,None,33.1,None,None,None,
7037400.2020.8.19,-74.05,45.8,ST JEROME,2020-08-19 00:00:00,2020,8,19,0,None,0,None,None,None,9.4,None,None,None,19.9,None,None,None,
7037400.2020.7.4,-74.05,45.8,ST JEROME,2020-07-04 00:00:00,2020,7,4,None,M,0,None,None,None,12.8,None,None,None,30.5,None,None,None,
7037400.2020.7.23,-74.05,45.8,ST JEROME,2020-07-23 00:00:00,2020,7,23,None,M,0,None,None,None,16.2,None,None,None,24.1,None,None,None,
7037400.2020.2.8,-74.05,45.8,ST JEROME,2020-02-08 00:00:00,2020,2,8,0,None,0,None,None,None,-19.1,None,None,None,-11.3,None,None,None,
7037400.2020.2.7,-74.05,45.8,ST JEROME,2020-02-07 00:00:00,2020,2,7,7,None,7,None,None,None,-10.1,None,None,None,-6.7,None,None,None,
7037400.2020.6.18,-74.05,45.8,ST JEROME,2020-06-18 00:00:00,2020,6,18,None,M,0,None,None,None,13.2,None,None,None,32.7,None,None,None,
7037400.2020.10.8,-74.05,45.8,ST JEROME,2020-10-08 00:00:00,2020,10,8,None,M,0,None,None,None,3.2,None,None,None,7.6,None,None,None,
7037400.2020.8.4,-74.05,45.8,ST JEROME,2020-08-04 00:00:00,2020,8,4,None,M,0,None,None,None,15.6,None,None,None,19.3,None,None,None,
7037400.2020.1.9,-74.05,45.8,ST JEROME,2020-01-09 00:00:00,2020,1,9,0,None,0,None,None,None,-19.4,None,None,None,-9.8,None,None,None,
7037400.2020.10.11,-74.05,45.8,ST JEROME,2020-10-11 00:00:00,2020,10,11,0,None,0,None,None,None,-0.2,None,None,None,9.8,None,None,None,
7037400.2020.1.1,-74.05,45.8,ST JEROME,2020-01-01 00:00:00,2020,1,1,None,M,None,M,None,None,-3.8,None,None,None,1,None,None,None,
7037400.2020.3.28,-74.05,45.8,ST JEROME,2020-03-28 00:00:00,2020,3,28,0,None,0,None,None,None,-6.2,None,None,None,7.5,None,None,None,
7037400.2020.4.26,-74.05,45.8,ST JEROME,2020-04-26 00:00:00,2020,4,26,0,None,0,None,None,None,-0.2,None,None,None,12.2,None,None,None,
7037400.2020.9.18,-74.05,45.8,ST JEROME,2020-09-18 00:00:00,2020,9,18,0,None,0,None,None,None,1.5,None,None,None,13.1,None,None,None,
7037400.2020.7.22,-74.05,45.8,ST JEROME,2020-07-22 00:00:00,2020,7,22,8.5,None,0,None,None,None,13.3,None,None,None,26.1,None,None,None,
7037400.2020.1.10,-74.05,45.8,ST JEROME,2020-01-10 00:00:00,2020,1,10,10,None,0,None,None,None,-14.3,None,None,None,2.5,None,None,None,
7037400.2020.2.3,-74.05,45.8,ST JEROME,2020-02-03 00:00:00,2020,2,3,0,None,0,None,None,None,-6.3,None,None,None,1.9,None,None,None,
7037400.2020.12.18,-74.05,45.8,ST JEROME,2020-12-18 00:00:00,2020,12,18,0,None,0,None,None,None,-17.6,None,None,None,-4.1,None,None,None,
7037400.2020.5.31,-74.05,45.8,ST JEROME,2020-05-31 00:00:00,2020,5,31,0,None,0,None,None,None,3.1,None,None,None,11.2,None,None,None,
7037400.2020.11.5,-74.05,45.8,ST JEROME,2020-11-05 00:00:00,2020,11,5,0,None,0,None,None,None,-2.7,None,None,None,18.4,None,None,None,
7037400.2020.6.22,-74.05,45.8,ST JEROME,2020-06-22 00:00:00,2020,6,22,0,None,0,None,None,None,18,None,None,None,33.6,None,None,None,
7037400.2020.7.1,-74.05,45.8,ST JEROME,2020-07-01 00:00:00,2020,7,1,None,M,0,None,None,None,14.3,None,None,None,30.8,None,None,None,
7037400.2020.6.6,-74.05,45.8,ST JEROME,2020-06-06 00:00:00,2020,6,6,None,M,0,None,None,None,14,None,None,None,23.8,None,None,None,
7037400.2020.10.21,-74.05,45.8,ST JEROME,2020-10-21 00:00:00,2020,10,21,None,M,0,None,None,None,1.9,None,None,None,12.9,None,None,None,
7037400.2020.8.24,-74.05,45.8,ST JEROME,2020-08-24 00:00:00,2020,8,24,None,M,0,None,None,None,18,None,None,None,25.6,None,None,None,
7037400.2020.2.10,-74.05,45.8,ST JEROME,2020-02-10 00:00:00,2020,2,10,None,M,None,M,None,None,-12.1,None,None,None,1.9,None,None,None,
7037400.2020.12.3,-74.05,45.8,ST JEROME,2020-12-03 00:00:00,2020,12,3,None,M,0,None,None,None,-6,None,None,None,2.3,None,None,None,
7037400.2020.8.14,-74.05,45.8,ST JEROME,2020-08-14 00:00:00,2020,8,14,0,None,0,None,None,None,13.6,None,None,None,26.8,None,None,None,
7037400.2020.7.18,-74.05,45.8,ST JEROME,2020-07-18 00:00:00,2020,7,18,5,None,0,None,None,None,17,None,None,None,30.6,None,None,None,
7037400.2020.8.13,-74.05,45.8,ST JEROME,2020-08-13 00:00:00,2020,8,13,0,None,0,None,None,None,15.4,None,None,None,29.6,None,None,None,
7037400.2020.3.9,-74.05,45.8,ST JEROME,2020-03-09 00:00:00,2020,3,9,5,None,0,None,None,None,-1.9,None,None,None,11.5,None,None,None,
7037400.2020.10.1,-74.05,45.8,ST JEROME,2020-10-01 00:00:00,2020,10,1,None,M,0,None,None,None,9.3,None,None,None,16.2,None,None,None,
7037400.2020.5.3,-74.05,45.8,ST JEROME,2020-05-03 00:00:00,2020,5,3,None,M,0,None,None,None,8,None,None,None,19.6,None,None,None,
7037400.2020.3.3,-74.05,45.8,ST JEROME,2020-03-03 00:00:00,2020,3,3,12.6,None,0,None,None,None,-6.3,None,None,None,4.9,None,None,None,
7037400.2020.5.17,-74.05,45.8,ST JEROME,2020-05-17 00:00:00,2020,5,17,0,None,0,None,None,None,3.7,None,None,None,20,None,None,None,
7037400.2020.9.16,-74.05,45.8,ST JEROME,2020-09-16 00:00:00,2020,9,16,None,M,0,None,None,None,5.5,None,None,None,21.3,None,None,None,
7037400.2020.4.24,-74.05,45.8,ST JEROME,2020-04-24 00:00:00,2020,4,24,None,M,0,None,None,None,-5.6,None,None,None,12.4,None,None,None,
7037400.2020.11.9,-74.05,45.8,ST JEROME,2020-11-09 00:00:00,2020,11,9,0,None,0,None,None,None,3.4,None,None,None,19.8,None,None,None,
7037400.2020.11.21,-74.05,45.8,ST JEROME,2020-11-21 00:00:00,2020,11,21,0,None,0,None,None,None,-1.6,None,None,None,3.7,None,None,None,
7037400.2020.9.24,-74.05,45.8,ST JEROME,2020-09-24 00:00:00,2020,9,24,0,None,0,None,None,None,8.9,None,None,None,19.4,None,None,None,
7037400.2020.1.20,-74.05,45.8,ST JEROME,2020-01-20 00:00:00,2020,1,20,0,None,0,None,None,None,-24.7,None,None,None,-9,None,None,None,
7037400.2020.8.27,-74.05,45.8,ST JEROME,2020-08-27 00:00:00,2020,8,27,0,None,0,None,None,None,5.3,None,None,None,18.5,None,None,None,
7037400.2020.10.16,-74.05,45.8,ST JEROME,2020-10-16 00:00:00,2020,10,16,1,None,0,None,None,None,7.3,None,None,None,9.2,None,None,None,
7037400.2020.10.23,-74.05,45.8,ST JEROME,2020-10-23 00:00:00,2020,10,23,None,M,0,None,None,None,7.8,None,None,None,18.3,None,None,None,
7037400.2020.10.3,-74.05,45.8,ST JEROME,2020-10-03 00:00:00,2020,10,3,0,None,0,None,None,None,3.7,None,None,None,13,None,None,None,
7037400.2020.5.25,-74.05,45.8,ST JEROME,2020-05-25 00:00:00,2020,5,25,0,None,0,None,None,None,12.6,None,None,None,21.5,None,None,None,
7037400.2020.7.30,-74.05,45.8,ST JEROME,2020-07-30 00:00:00,2020,7,30,0,T,0,None,None,None,14.6,None,None,None,26.3,None,None,None,
7037400.2020.6.23,-74.05,45.8,ST JEROME,2020-06-23 00:00:00,2020,6,23,7.6,None,0,None,None,None,17.6,None,None,None,32.5,None,None,None,
7037400.2020.4.1,-74.05,45.8,ST JEROME,2020-04-01 00:00:00,2020,4,1,0,None,0,None,None,None,-1.4,None,None,None,5.1,None,None,None,
7037400.2020.4.16,-74.05,45.8,ST JEROME,2020-04-16 00:00:00,2020,4,16,None,M,0,T,None,None,-5.7,None,None,None,3.6,None,None,None,
7037400.2020.3.24,-74.05,45.8,ST JEROME,2020-03-24 00:00:00,2020,3,24,0,None,0,None,None,None,-3,None,None,None,6.8,None,None,None,
7037400.2020.6.27,-74.05,45.8,ST JEROME,2020-06-27 00:00:00,2020,6,27,6,None,0,None,None,None,15.3,None,None,None,23.1,None,None,None,
