Condition_Environnementale,Espece,Abondance
pH,Espèce B,85
Température,Espèce A,88
Salinité,Espèce D,69
Humidité,Espèce A,36
pH,Espèce C,34
Température,Espèce B,93
Salinité,Espèce C,14
Salinité,Espèce D,97
pH,Espèce D,36
pH,Espèce C,77
Humidité,Espèce B,81
Salinité,Espèce C,38
Humidité,Espèce C,33
Salinité,Espèce D,66
pH,Espèce C,94
pH,Espèce A,23
Humidité,Espèce D,62
Température,Espèce C,42
Salinité,Espèce D,47
pH,Espèce C,69
pH,Espèce B,6
Salinité,Espèce A,24
Salinité,Espèce E,54
Température,Espèce B,45
Salinité,Espèce A,82
Humidité,Espèce E,99
pH,Espèce C,24
pH,Espèce A,80
Température,Espèce D,43
Température,Espèce B,12
Humidité,Espèce A,5
Salinité,Espèce A,54
Température,Espèce D,50
Salinité,Espèce B,55
pH,Espèce A,36
Température,Espèce E,95
Humidité,Espèce A,72
Température,Espèce C,9
Humidité,Espèce D,95
Humidité,Espèce E,82
Température,Espèce D,67
Température,Espèce A,69
Humidité,Espèce C,17
Humidité,Espèce A,13
Humidité,Espèce A,49
Humidité,Espèce A,54
Salinité,Espèce A,16
Humidité,Espèce A,57
Température,Espèce C,68
pH,Espèce E,26
pH,Espèce D,70
pH,Espèce D,67
Humidité,Espèce D,21
pH,Espèce A,25
Salinité,Espèce B,64
Salinité,Espèce C,90
Température,Espèce E,23
Salinité,Espèce A,18
pH,Espèce C,65
pH,Espèce D,97
Humidité,Espèce A,54
Salinité,Espèce A,72
pH,Espèce D,20
Humidité,Espèce C,45
Salinité,Espèce B,77
Température,Espèce E,5
Humidité,Espèce B,79
Salinité,Espèce A,16
Humidité,Espèce D,26
Humidité,Espèce C,28
Salinité,Espèce E,48
pH,Espèce B,36
Humidité,Espèce E,79
pH,Espèce D,32
Salinité,Espèce A,25
Salinité,Espèce A,63
Salinité,Espèce A,86
Salinité,Espèce E,4
pH,Espèce D,84
Humidité,Espèce D,65
Température,Espèce C,7
Humidité,Espèce C,26
Salinité,Espèce B,26
Température,Espèce C,6
Humidité,Espèce E,43
Humidité,Espèce E,30
Humidité,Espèce C,27
pH,Espèce C,54
pH,Espèce A,99
Salinité,Espèce C,35
Humidité,Espèce E,51
Température,Espèce D,40
pH,Espèce C,23
Salinité,Espèce C,27
pH,Espèce D,97
Humidité,Espèce C,95
Température,Espèce E,20
Température,Espèce B,25
Température,Espèce D,64
pH,Espèce C,93
