Composé,Formule,Concentration
Composé D,N2,90.4690127940977
Composé C,CO2,49.08643604735992
Composé B,CO2,67.47355244822656
Composé C,H2O,96.62226483697044
Composé B,CO2,56.647646744190716
Composé D,CO2,50.022429624959955
Composé B,O2,93.13229154483297
Composé D,H2O,31.192899829884844
Composé D,CO2,73.74732622693418
Composé A,CO2,49.79625818512172
Composé A,H2O,71.36676424507739
Composé A,O2,66.97397051192806
Composé D,CO2,78.63019622463744
Composé D,N2,78.2896329141267
Composé D,H2O,48.84181782483059
Composé A,CO2,25.887720039559316
Composé A,O2,82.61793713822932
Composé D,H2O,24.786421010903403
Composé D,H2O,86.37721531120502
Composé C,CO2,61.89679276075666
Composé C,H2O,10.646982201652255
Composé B,CO2,42.07252920871641
Composé D,O2,48.925317725161776
Composé C,O2,59.18380932625843
Composé C,CO2,28.20979251434521
Composé D,N2,12.58046504822492
Composé A,O2,43.1938539662463
Composé D,N2,89.48587127149248
Composé D,H2O,86.27924378036138
Composé D,O2,50.17808966396655
Composé B,O2,62.79714237604814
Composé A,CO2,14.664763129201642
Composé D,H2O,52.01860220254887
Composé C,CO2,43.06547076091677
Composé C,N2,81.44982143390874
Composé B,CO2,91.73813919916066
Composé A,O2,77.81594055418178
Composé D,O2,14.47053228528482
Composé A,O2,90.6197638382975
Composé A,CO2,34.94196048529196
Composé B,H2O,17.64504854666309
Composé B,H2O,22.340267494783138
Composé A,N2,32.79171004344181
Composé A,CO2,27.96635193174254
Composé A,O2,0.9606407091551028
Composé B,O2,69.37682407795627
Composé C,N2,35.201715101795926
Composé A,N2,74.62890511918624
Composé D,H2O,86.31872518036889
Composé C,H2O,73.79229701545825
Composé A,CO2,20.220820969677433
Composé D,N2,71.58752738636883
Composé D,O2,74.80826969902901
Composé B,O2,88.75365438439133
Composé B,H2O,42.40702976153463
Composé B,CO2,65.15022132256004
Composé A,O2,83.77186263115047
Composé A,N2,25.326028198077456
Composé A,N2,29.25809137922527
Composé A,H2O,38.063385556379814
Composé D,CO2,37.17864000097586
Composé A,N2,18.724592178312093
Composé D,CO2,86.75094990551044
Composé D,N2,39.63633621108673
Composé C,N2,5.406537344472417
Composé C,H2O,32.212346551206195
Composé D,CO2,72.6022854272799
Composé D,N2,32.22765088972961
Composé C,O2,19.310744250905376
Composé B,O2,80.35031808477547
Composé D,H2O,49.180597981360954
Composé C,N2,11.233798383024752
Composé B,N2,41.463517314775125
Composé C,O2,53.34398788318947
Composé D,CO2,8.084609032938273
Composé B,O2,7.476214680024973
Composé B,O2,55.43162849379883
Composé B,N2,56.895503764598274
Composé C,CO2,21.014022872169836
Composé C,N2,81.17896343527549
Composé A,CO2,93.6313351669534
Composé A,CO2,30.062475727940985
Composé A,O2,84.03641893768685
Composé A,H2O,78.62825586901639
Composé C,O2,54.17357658088835
Composé A,N2,50.76469023103801
Composé D,CO2,23.040614164253025
Composé D,CO2,40.99383062364995
Composé B,N2,5.76569748754463
Composé B,N2,5.328652074818363
Composé C,H2O,13.627736955630255
Composé D,H2O,56.486992569925675
Composé C,N2,60.62859887034941
Composé C,O2,4.036190246113669
Composé A,O2,41.13266155609382
Composé A,N2,29.540047311513227
Composé B,N2,17.76438850486304
Composé A,H2O,73.34718723302984
Composé A,H2O,51.46619167373662
Composé C,N2,18.638120122008818
